iter	Passed	Remaining
626	9007	5358
627	9021	5343
628	9034	5328
629	9047	5313
630	9061	5298
631	9075	5284
632	9089	5270
633	9104	5255
634	9116	5240
635	9129	5225
636	9143	5210
637	9156	5195
638	9169	5180
639	9183	5165
640	9195	5150
641	9209	5135
642	9223	5121
643	9237	5106
644	9251	5092
645	9264	5077
646	9278	5062
647	9290	5046
648	9303	5031
649	9318	5017
650	9333	5003
651	9346	4988
652	9359	4973
653	9373	4959
654	9386	4943
655	9401	4930
656	9414	4915
657	9427	4900
658	9441	4885
659	9455	4870
660	9469	4856
661	9484	4842
662	9500	4828
663	9515	4814
664	9530	4801
665	9543	4786
666	9558	4771
667	9572	4757
668	9587	4743
669	9601	4728
670	9614	4713
671	9629	4699
672	9643	4685
673	9657	4671
674	9670	4655
675	9684	4641
676	9698	4627
677	9712	4612
678	9727	4598
679	9739	4583
680	9754	4569
681	9768	4554
682	9782	4540
683	9796	4526
684	9810	4511
685	9824	4497
686	9836	4481
687	9849	4466
688	9862	4451
689	9877	4437
690	9891	4423
691	9904	4408
692	9917	4393
693	9931	4379
694	9944	4364
695	9957	4349
696	9971	4334
697	9983	4319
698	9997	4305
699	10010	4290
700	10023	4275
701	10036	4260
702	10049	4245
703	10063	4231
704	10076	4216
705	10088	4201
706	10100	4185
707	10113	4171
708	10126	4156
709	10141	4142
710	10154	4127
711	10168	4113
712	10181	4098
713	10194	4083
714	10208	4069
715	10220	4054
716	10234	4039
717	10247	4024
718	10260	4010
719	10274	3995
720	10286	3980
721	10298	3965
722	10310	3950
723	10323	3935
724	10336	3920
725	10350	3906
726	10364	3891
727	10377	3877
728	10389	3862
729	10402	3847
730	10413	3832
731	10426	3817
732	10440	3803
733	10453	3788
734	10468	3774
735	10480	3759
736	10493	3744
737	10506	3730
738	10517	3714
739	10530	3699
740	10544	3685
741	10557	3670
742	10571	3656
743	10584	3641
744	10598	3627
745	10610	3612
746	10623	3598
747	10635	3583
748	10649	3568
749	10663	3554
750	10678	3540
751	10691	3526
752	10706	3511
753	10719	3497
754	10734	3483
755	10749	3469
756	10761	3454
757	10775	3440
758	10789	3425
759	10802	3411
760	10816	3397
761	10830	3382
762	10845	3368
763	10858	3354
764	10871	3339
765	10883	3324
766	10897	3310
767	10912	3296
768	10924	3281
769	10937	3267
770	10949	3252
771	10963	3237
772	10974	3222
773	10988	3208
774	11002	3194
775	11016	3179
776	11028	3165
777	11042	3150
778	11055	3136
779	11068	3121
780	11082	3107
781	11094	3092
782	11106	3078
783	11120	3063
784	11134	3049
785	11148	3035
786	11162	3021
787	11175	3006
788	11186	2991
789	11200	2977
790	11213	2962
791	11228	2948
792	11240	2934
793	11254	2919
794	11267	2905
795	11281	2891
796	11294	2876
797	11306	2862
798	11320	2847
799	11332	2833
800	11345	2818
801	11358	2804
802	11372	2789
803	11384	2775
804	11399	2761
805	11412	2746
806	11425	2732
807	11440	2718
808	11454	2704
809	11468	2690
810	11482	2675
811	11496	2661
812	11511	2647
813	11526	2633
814	11541	2619
815	11556	2605
816	11572	2592
817	11585	2577
818	11598	2563
819	11613	2549
820	11626	2534
821	11641	2520
822	11655	2506
823	11669	2492
824	11681	2477
825	11695	2463
826	11709	2449
827	11723	2435
828	11737	2421
829	11750	2406
830	11765	2392
831	11779	2378
832	11793	2364
833	11805	2349
834	11819	2335
835	11832	2321
836	11845	2306
837	11859	2292
838	11871	2278
839	11886	2264
840	11897	2249
841	11910	2234
842	11923	2220
843	11937	2206
844	11951	2192
845	11965	2178
846	11977	2163
847	11988	2148
848	12001	2134
849	12014	2120
850	12028	2106
851	12042	2091
852	12056	2077
853	12068	2063
854	12081	2048
855	12094	2034
856	12108	2020
857	12122	2006
858	12135	1991
859	12148	1977
860	12162	1963
861	12175	1949
862	12189	1935
863	12202	1920
864	12215	1906
865	12227	1891
866	12240	1877
867	12252	1863
868	12267	1849
869	12279	1834
870	12292	1820
871	12305	1806
872	12318	1792
873	12331	1777
874	12341	1763
875	12355	1748
876	12368	1734
877	12381	1720
878	12393	1705
879	12405	1691
880	12419	1677
881	12432	1663
882	12444	1648
883	12457	1634
884	12470	1620
885	12484	1606
886	12498	1592
887	12511	1577
888	12524	1563
889	12538	1549
890	12552	1535
891	12566	1521
892	12578	1507
893	12593	1493
894	12607	1479
895	12621	1464
896	12634	1450
897	12648	1436
898	12663	1422
899	12676	1408
900	12690	1394
901	12703	1380
902	12718	1366
903	12732	1352
904	12747	1338
905	12760	1323
906	12772	1309
907	12787	1295
908	12801	1281
909	12815	1267
910	12829	1253
911	12843	1239
912	12856	1225
913	12869	1210
914	12883	1196
915	12897	1182
916	12911	1168
917	12922	1154
918	12935	1140
919	12948	1125
920	12961	1111
921	12974	1097
922	12989	1083
923	13002	1069
924	13016	1055
925	13029	1041
926	13043	1027
927	13056	1013
928	13067	998
929	13081	984
930	13094	970
931	13108	956
932	13121	942
933	13133	928
934	13147	914
935	13159	899
936	13174	885
937	13187	871
938	13199	857
939	13213	843
940	13227	829
941	13239	815
942	13252	801
943	13265	786
944	13280	772
945	13293	758
946	13306	744
947	13318	730
948	13331	716
949	13346	702
950	13360	688
951	13372	674
952	13386	660
953	13399	646
954	13412	631
955	13426	617
956	13439	603
957	13452	589
958	13464	575
959	13478	561
960	13491	547
961	13504	533
962	13519	519
963	13533	505
964	13547	491
965	13560	477
966	13574	463
967	13588	449
968	13602	435
969	13614	421
970	13629	407
971	13642	393
972	13656	378
973	13670	364
974	13682	350
975	13696	336
976	13708	322
977	13722	308
978	13735	294
979	13750	280
980	13764	266
981	13778	252
982	13791	238
983	13803	224
984	13818	210
985	13832	196
986	13846	182
987	13858	168
988	13873	154
989	13886	140
990	13899	126
991	13915	112
992	13928	98
993	13943	84
994	13957	70
995	13973	56
996	13986	42
997	14000	28
998	14012	14
999	14027	0
